"entity_name","entity_id","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_splitter","active_spin_curve","active_spin_slider","active_spin_sweeper","active_spin_slurve"
"Newcomb, Sean",656794,"L","91.6","82.9","45.3","88.4",,,,,"65.4"
"Burns, Chase",695505,"R","91.5",,,"97.8",,,"18.8",,
"Santana, Dennis",642701,"R","91.5","89.9",,"82.1",,,"21.2",,
"Gore, MacKenzie",669022,"L","91.5","95.2","52.7","95.3",,"69","21.7",,
"Winn, Keaton",676775,"R","91.4","84.7",,,"82.8",,,,
"Legumina, Casey",668984,"R","91.4","93.4",,"87.9",,,,"50.7",
"Painter, Andrew",691725,"R","91.4","87.9",,,"75.1","62.8","43.3","49.2",
"Lynch IV, Daniel",663738,"L","91.4","89.4",,"89.7",,"32.6","20.4",,
"Cease, Dylan",656302,"R","91.3","85.3",,"90.3",,"72.9","23.7","55.3",
"Gilbert, Logan",669302,"R","91.3",,"58.2","87.7","50.2","72.6","28.5",,
"Kikuchi, Yusei",579328,"L","91.3",,"46.4",,"89","59.1","23.1",,
"Alexander, Tyler",641302,"L","91.3","93.9","56","86",,,,"50.6",
"Seymour, Ian",693855,"L","91.2","81.6","50.5","95.8",,,"30.6","32.6",
"Perkins, Jack",678022,"R","91.2",,"42.7","95.2",,,,"40.8",
"Okert, Steven",595345,"L","91.2",,,,,,"36.8",,
"Loáisiga, Jonathan",642528,"R","91.1","88.7",,"93.6",,"32.3",,,
"deGrom, Jacob",594798,"R","91.1",,,"82.6",,"64","34.7",,
"Suárez, Albert",544150,"R","91.1",,"49","97.1",,"52",,,
"Suarez, Robert",663158,"R","91.1","94.9","72.5","94",,,,,
"Junk, Janson",676083,"R","91","90.5",,"83.8",,"76.2","36","50.5",
"Phillips, Connor",683175,"R","91",,,,,,,"53",
"Bibee, Tanner",676440,"R","90.9","90.8","29.7","94.7",,"69.1",,,
"Graceffo, Gordon",700669,"R","90.9","89.9",,"93.8",,"74","12.9",,
"Kirby, George",669923,"R","90.8","87","59.7","99.4",,"83.9",,"59.7",
"Lowder, Rhett",695076,"R","90.8","93.2",,"90.7",,,"20.3",,
"Adam, Jason",592094,"R","90.8",,,"85",,,"14.1",,
"Abbott, Andrew",671096,"L","90.8",,,"87.5",,"56.1",,"45",
"Fried, Max",608331,"L","90.8","70.1","45.1","84.1",,"87.1",,"58.5",
"Ashcraft, Braxton",677952,"R","90.8","86.8",,,"92.2","61.2","35.6",,
"Vásquez, Randy",681190,"R","90.7","87.9","40.3","94.3",,"45.1","38.3",,
"Fisher, Braydon",680755,"R","90.7",,"64.9",,,"74.6","26",,
"Scherzer, Max",453286,"R","90.7",,,"98.9",,"64.5","29",,
"Webb, Jacob",657097,"R","90.6",,,"99.7",,,,"48.5",
"Zerpa, Angel",672582,"L","90.6","86.7",,"96.5",,,"33.7",,
"Cameron, Noah",702070,"L","90.6",,"56.2","96",,"67.1","19.3",,
"Prielipp, Connor",687570,"L","90.5",,,"87.3",,"64.4","17.9",,
"Woo, Bryan",693433,"R","90.5","84",,"88.2",,,"19.7","47.5",
"Winn, Cole",668390,"R","90.5","85.5","43.6",,"86.9",,"30.8",,
"Taillon, Jameson",592791,"R","90.4","89.2","53.5","86.1",,"72.3",,"55.7",
"Bachar, Lake",669199,"R","90.2",,,,"94.2","39.3","16.7","33.4",
"Early, Connelly",813349,"L","90.2","90.6",,"84",,"68.2","34.8","42.2",
"Abreu, Bryan",650556,"R","90.2",,,,,,"48.5",,
"Speier, Gabe",642100,"L","90.1","92.1",,,,,"32",,
"Houser, Adrian",605288,"R","90.1","87.8",,"85.8",,"92.3","33.3",,
"Fairbanks, Pete",664126,"R","90",,"29.2",,,,"64.8",,
"Sproat, Brandon",687075,"R","89.9","81.8","53.3","94.1",,"80.9",,"40.8",
"Martinez, Nick",607259,"R","89.7","85.6","57.2","84",,"73","24.7",,
"Brash, Matt",666374,"R","89.6","90.4",,"65.7",,,"47.3",,
"Hill, Jaden",677955,"R","89.5","93.3",,"99.4",,,"22.7",,
"McLean, Nolan",690997,"R","89.4","84.7","23.5","79.6",,"95.7",,"68",
"Allard, Kolby",663465,"L","89.3","91.6","38.9","99.5",,"95.4",,,
"Lugo, Seth",607625,"R","89.3","87.7","70.7","92.3",,"81.9","31.1","53.6","69.7"
"Lange, Alex",656638,"R","89.2","87","35.8","91.3",,"32","20.9",,
"Beeter, Clayton",690925,"R","89.2",,,,,,"47.2",,
"Skubal, Tarik",669373,"L","89","82.4",,"68.5",,"62.3","24.1",,
"Santillan, Tony",663574,"R","88.9",,,,,,,,"46.5"
"Henry, Cole",669371,"R","88.9",,"47.9",,,,,"55.2",
"Mikolas, Miles",571945,"R","88.7","83",,"82",,"81.5","30.3","43.2",
"Cruz, Fernando",518585,"R","88.7",,,,"39",,"41.8",,
"Suarez, José",660761,"L","88.7","86.5",,"80.1",,,"31.1",,
"Corbin, Patrick",571578,"L","88.6","84.9","29.1","97.7",,,"22.3",,
"Martin, Riley",702303,"L","88.6",,,,,"66.2","19.9",,
"Chapman, Aroldis",547973,"L","88.6","84.3",,,"37.6",,"43.3",,
"Watson, Ryan",670245,"R","88.6","86.2","59.2",,,"90",,"32.6",
"Waldron, Matt",663362,"R","88.5","83.8","55.4",,,,,"47.3",
"Schultz, Noah",702273,"L","88.4","90.8","41.5","88.7",,,,"53.8",
"Soto, Gregory",642397,"L","88.3","88.3",,,,,"26.1","32.5",
"Gómez, Yoendrys",672782,"R","88.3","87.3","50.4",,,,,"55.3",
"Acton, Garrett",670183,"R","88.3",,,,,,"32.6",,
"Meyer, Max",676974,"R","88.3","91.5",,"93.8",,,"16.6","40.2",
"Assad, Javier",665871,"R","88.2","85.6","45.7","72.8",,"77.6","44","62.8",
"Roupp, Landen",694738,"R","88.1","88.9","34.8","81.2",,"84.8",,,
"Hall, DL",669084,"L","88.1","87.8",,"97.2",,"73.8",,"50.1",
"Povich, Cade",700249,"L","88.1","88.8",,"84.9",,"91.8","39.9",,
"Rasmussen, Drew",656876,"R","88","86.6","34.5","72.2",,"67.3",,"44.9",
"Leahy, Kyle",681517,"R","88","82.7",,"70.5",,"83.4","45.4","58.3",
"Schlittler, Cam",693645,"R","87.9","81.5","56.4",,,"67.5","46.9",,
"Miller, Mason",695243,"R","87.9",,,,,,"58.1",,
"Weiss, Ryan",680802,"R","87.7","82.6",,"67.4",,"81.5",,"53.7",
"Rocker, Kumar",677958,"R","87.7","88.9","48","97.4",,,"20.5",,
"Ginkel, Kevin",656464,"R","87.6",,,,,,"30.6",,
"Hart, Kyle",606996,"L","87.6","86.3",,,"59",,"37.4","50.3",
"Vest, Will",676684,"R","87.6","85.8",,"89.9",,,"17.1",,
"Urena, Walbert",700712,"R","87.5","88.4",,"93.1",,,,"50.6",
"Burke, Sean",680732,"R","87.5","93.2","63.5","99.6",,"81.7","34.9",,
"Díaz, Edwin",621242,"R","87.5",,,,,,"21.1",,
"Kelly, Zack",677161,"R","87.5","88.3","50",,,,,"61.7",
"Crochet, Garrett",676979,"L","87.4","86.8","39.6","74.2",,,,"50.7",
"Taylor, Grant",691799,"R","87.4","90.1",,,,"80","25.9",,
"Gage, Matt",657424,"L","87.4",,,"82.7",,,"26.7",,
"Vodnik, Victor",680767,"R","87.3","91.9","27.7","90.7",,,"36.8",,
"Bellozo, Valente",678368,"R","87.2","79.3","54.5","84.6",,,,"56.7",
"Castillo, Luis",622491,"R","87.1","90.6",,"93.3",,,"10.9",,
"Treinen, Blake",595014,"R","87.1","83.3",,,,,,"53.9",
"Sugano, Tomoyuki",608372,"R","87","87","45",,"82.5","56.2","27.5","31.7",
"Zeferjahn, Ryan",666171,"R","87","82.1",,,,,"42.3","51",
"Sands, Cole",663485,"R","86.9","82.1","33.3",,"86.6","61.8",,,
"Soriano, George",666277,"R","86.9","81.6",,"76.2",,,"15.8","34.8",
"Garcia, Robert",676395,"L","86.8",,,"78",,,"27.1",,
"Montero, Keider",672456,"R","86.6","84.6",,"90.7",,"64.9","28.2",,
"Brubaker, JT",664141,"R","86.5","89.3",,"86.6",,"50.4","11",,
"Peralta, Freddy",642547,"R","86.3",,,"89.5",,"47.6","28.6",,
"Rodriguez, Bradgley",699134,"R","86.2","85.5","37.2","96.5",,,,,
"Rea, Colin",607067,"R","86.1","78.8","41.4",,"81.8","73.8","27.7","59.3",
"Senga, Kodai",673540,"R","85.9","79.3","43.4",,"73.2",,,"36.1",
"Flaherty, Jack",656427,"R","85.9","75.2",,"80.1",,"77.3","43.7",,
"Keller, Mitch",656605,"R","85.9","80.5","50.1","85.3",,"92.1","29.2","58.4",
"Rogers, Trevor",669432,"L","85.9","87.1","24.2","85.7",,,,"34.2",
"Medina, Luis",665622,"R","85.9","88.4",,"75.2",,,"25.2",,
"Ritchie, JR",702275,"R","85.9","81.7",,"87.4",,"88.3","29.3",,
"Woodruff, Brandon",605540,"R","85.8","86.5","58.3","85.9",,"62.9",,,
"Bido, Osvaldo",674370,"R","85.8","82.4",,"79.7",,,"30","35",
"Jax, Griffin",643377,"R","85.8","84.1",,"82.5",,"59.9",,"36.1",
"Kelly, Merrill",518876,"R","85.7","82.8","71.7","79.7",,"60","21.9",,
"Nardi, Andrew",677053,"L","85.7",,,"89.1",,,,"36.6",
"Miles, Spencer",693686,"R","85.7","83.2",,,,"78.2","23.3",,
"Ober, Bailey",641927,"R","85.6","89.6",,"98.8",,"80.5","45.9","55",
"Phillips, Tyler",663969,"R","85.6","89.5",,,"88.1","68.4",,"37.5",
"Morales, Luis",806960,"R","85.2","83.2",,"88.4",,,"43","65.5",
"Silseth, Chase",681217,"R","84.9","85.7",,,"73.4",,,"31.9",
"Rodriguez, Eduardo",593958,"L","84.9","84.8","57","89.5",,"54",,,
"Freeland, Kyle",607536,"L","84.8",,"46.1","95.7",,"44.2",,"38.9",
"Iglesias, Raisel",628452,"R","84.7","88.4",,"83.4",,,,,
"Anderson, Drew",623454,"R","84.6",,,"66",,"92.8","25.3",,
"Senzatela, Antonio",622608,"R","84.6","84.7","45.7","73.7",,"44.5","34",,
"Morejon, Adrian",670970,"L","84.4","79.8",,"91.6",,,"42.8",,
"Gallen, Zac",668678,"R","84.3","82.6",,"83.5",,"60.5","40.6",,
"Ramírez, Yohan",670990,"R","84.2","84.1",,,,"77.5",,"53",
"Clarke, Taylor",664199,"R","84.1","87.4","74.2","88.3",,,"30.6",,
"Muñoz, Andrés",662253,"R","83.9","83.5",,,,,"39.1",,
"Lucchesi, Joey",664192,"L","83.8","87.8",,,,"47.8",,,
"Soriano, José",667755,"R","83.5","84.9",,,"83.6","60","14.5",,
"Pérez, Cionel",672335,"L","83.3","79.5",,,,"62.5",,,"40.9"
"Teng, Kai-Wei",678906,"R","83.2","80.2",,"84",,"74.2",,"49.7",
"Wrobleski, Justin",680736,"L","83.1","84.2",,,,"62.9","25.6",,
"Hudson, Bryan",663542,"L","83","78.9","28.9",,,,,"79",
"Irvin, Jake",663623,"R","82.8","77.9","51.2","82.6",,"82.6",,"53",
"Ashby, Aaron",676879,"L","82.7","81",,"79.5",,"87","44.5",,
"Kay, Anthony",641743,"L","82.5","77.5","34.8","77.6",,,,"54.4",
"Armstrong, Shawn",542888,"R","82.5","88.1","51.6",,,,,"45.5",
"Kochanowicz, Jack",686799,"R","82.5","78.4",,"63.7",,,"30.8",,
"Bolton, Cody",675989,"R","82.4","81","36","73.8",,"84.3",,"66.5",
"Abel, Mick",690953,"R","82.3","75.8",,"62.3",,"73.4","26.3","55.1",
"Banks, Tanner",621383,"L","82.3","83.1",,,,,"34.3","39.4",
"King, Michael",650633,"R","82.3","73.4",,"95.9",,,"29.6","57.6",
"Soroka, Michael",647336,"R","82.3","80.8","39.6","88.1",,,,,"62"
"Herget, Jimmy",623474,"R","82","83.5",,"69.4",,,"31.2","54.8",
"Sisk, Evan",681895,"L","81.8","80.1",,"77.5",,"79.1",,"59.7",
"Hancock, Emerson",676106,"R","81.7","83.4","25.5","99.1",,,,"62.2",
"Kilian, Caleb",668873,"R","81.6","83.3",,,,"90.6","29.6",,
"Pallante, Andre",669467,"R","81.4","86",,,"87.1","83.4","31.6",,
"Kelly, Kevin",687330,"R","81.4","81.9",,"76.3",,,,"74",
"Elder, Bryce",693821,"R","81.2","74.1","60.8","70.4",,,"38",,
"Sims, Lucas",608371,"R","81.1",,,,,"60.7","34.6","38.2",
"Martin, Davis",663436,"R","81","74.5","40.7","71.2",,"62.1","21.2",,
"Domínguez, Seranthony",622554,"R","80.9","83",,,"97.3","81.1",,"38.3",
"Sewald, Paul",623149,"R","80.8",,,,,,,"36.5",
"Holmes, Grant",656550,"R","80.6","72.4","60.5","92.5",,"43","29.3",,
"Scott, Tanner",656945,"L","80.6",,,,,,"29.9",,
"Quintana, Jose",500779,"L","80.5","84.5",,"91.8",,"44.7",,,"42.5"
"Lawrence, Justin",664875,"R","80.4","77.8",,,,,,"59.7",
"Smith, Shane",681343,"R","80.1","85.3",,"76.9",,"80.7","31",,
"Holton, Tyler",663947,"L","80","84.4","37.2","96.5",,"85.3",,"63.4",
"Morán, Jovani",663558,"L","80",,"30.2","84.5",,,,"46.3",
"Pomeranz, Drew",519141,"L","79.9",,,,,"62.2",,,
"Morgan, David",688158,"R","79.8","87.2",,,,"75.7","34.2",,
"Gil, Luis",661563,"R","79.8","73.7",,"87.2",,,"37.3",,
"Nunez, Anthony",689296,"R","79.7","84.5",,"66.3",,,,"48",
"Anderson, Grant",681982,"R","79.7","79.8",,,,,,"60.9",
"Bubic, Kris",663460,"L","79.2","78.7",,"68.9",,,"20","50.9",
"McGreevy, Michael",700241,"R","78.9","66.1","32.7","62.5",,"82.8","39.7","57.2",
"Wolfram, Grant",664991,"L","78.8","84.7",,,,"45.4","15.8","39.7",
"Webb, Logan",657277,"R","78.4","76","42.9","80.1",,,,"44.5",
"McCullers Jr., Lance",621121,"R","78.3","81","46.4","90.8",,"76.5",,"55",
"Suarez, Ranger",624133,"L","78.3","71.5","51.8","73.3",,"83.8",,,
"Muñoz, Roddery",682610,"R","78.2","77.6","38.6",,,,"48",,
"Faucher, Calvin",676534,"R","78.1","78","24.4",,,"74.8",,"50.3",
"Kinley, Tyler",641755,"R","78",,,,,"61.2","20.9",,
"Cavalli, Cade",676917,"R","78","80.5",,"93.7",,"84.1",,"79.6",
"Bello, Brayan",678394,"R","77.6","85.1","14.5","96",,"55.6",,"41.4",
"Suter, Brent",608718,"L","77.6","88.2",,"89.3",,,"51.6",,
"Feltner, Ryan",663372,"R","77.4","67.8",,"65.8",,"63.2","35.9","34.3",
"Keller, Brad",641745,"R","76.9","74.8",,"79.8",,,"46.8","48.4",
"Mejia, Juan",675848,"R","76.6","70.1",,,,,"36","59.1",
"Bummer, Aaron",607481,"L","76.4","79","43.7",,,"76.2",,"65.3",
"Glasnow, Tyler",607192,"R","76.2","73.6",,,,"82.1","25.2",,
"Weissert, Greg",669711,"R","76","79.3",,"94.5",,,"36.8","64.3",
"Bruihl, Justin",677865,"L","75.8","74.4",,"67.4",,,,"64.6",
"King, Bryan",687911,"L","75.5","77.2",,,,,,"56.6",
"Criswell, Cooper",681867,"R","75.5","81","36.4","89",,,,"69.6",
"Ginn, J.T.",669372,"R","75.2","74","42","66.5",,,"33.5",,
"Ohtani, Shohei",660271,"R","75.2","72.5",,,"69.8","91.5",,"51.2",
"Bernardino, Brennan",657514,"L","75","71.1","39.6","88.5",,"50.5",,,
"Warren, Will",701542,"R","74.9","74.3",,"84.6",,"69.8",,"55.3",
"Thompson, Ryan",657044,"R","74.8","74.9",,,,,"75.7",,
"Pfaadt, Brandon",694297,"R","74.7","83.3","45.3","83.7",,"79.5","24.2","43",
"Avila, Luinder",679883,"R","73.9","71.3",,"77.5",,"63","45.8",,
"France, J.P.",641585,"R","73.8",,"30.4","86.6",,"94.9",,,
"Singer, Brady",663903,"R","73.7","79.6","41.6",,,,"33.5","37.9",
"Bassitt, Chris",605135,"R","73.2","81.7","53.4","91.7",,"96.1",,"85.7",
"Junis, Jakob",596001,"R","73.1","70.8",,"73.2",,,"59.1",,
"Schreiber, John",670167,"R","71.8","71.4","26.5","87.4",,,,"60.2",
"Bradish, Kyle",680694,"R","71.1","72.4",,,,"73.3","44.8",,
"Payamps, Joel",606303,"R","70.3","66.7",,,,,,"38.7",
"Barlow, Scott",605130,"R","69.6","73.8",,,,"76.4",,"48.4",
"Moll, Sam",594580,"L","69.3","74.3",,"79.5",,,,"48",
"Anderson, Shaun",641312,"R","69","73.9",,"75.8",,,"40.7","64.9",
"Boyle, Joe",671212,"R","66.7","69.2",,,"80.7",,"32.1","53.7",
"Peterson, David",656849,"L","65.9","72.2",,"83.2",,"66.1","16.4",,
"Herrin, Tim",682120,"L","63.2","68.1",,,,"54.7","11.5",,
"Lovelady, Richard",663992,"L","61.7","64.7",,,,,"27.6","60.6",
"Gray, Sonny",543243,"R","61.3","61.5","32.3","79.9",,"91.3",,"55.4",
"Festa, Matt",670036,"R","60.2","66.1","54.5",,,,,"53.9",
